univID,stl,ips,mds,mdf,maf,lps,ips.prop,ect,tpg,mav,mcv,mpt,cle,pmx,ds1,ds2,lpt,ds3,lps.sc,ect.sc,tpg.sc,cle.sc,pmx.sc,ds1.sc,ds2.sc,lpt.sc,ds3.sc
Emi.B.F.199,39.1,8,3,11,7,3.3,1,5.3259265,5.991899965,15,15,NA,7.076,2.489,1.306,2.339,0,0.747,3.557888926,6.259629521,5.827788036,8.830321239,3.039056171,1.575104138,2.672138675,0,0.828491815
Emi.B.F.200,50.56,8,3,9,6,3.8,1,7.989017918,7.61252711,14,16,6,10.211,2.908,0.696,1.989,0.782,0.424,3.663841374,7.387091882,7.715739632,9.171132842,2.639634519,0.635553248,1.864625276,0.752637349,0.403236157
Emi.B.F.201,41.08,8,3,9,7,3.14,1,6.318785164,6.789645723,15,16,6,8.019,2.23,0.889,1.963,0.287,0.343,3.313463881,7.091963445,6.656228909,9.39416831,2.572006686,1.016359628,2.158965774,0.303651311,0.369342065
Emi.B.F.202,43.36,8,3,12,7,3.14,1,6.433449925,5.9293555,15,15,6,8.923,2.301,1.968,2.395,0.922,0.645,3.236568104,6.865703519,5.863437047,9.755124213,2.493585794,2.122169143,2.526883303,0.951762505,0.672453056
Emi.B.F.203,47.86,8,3,9,7,2.31,1,7.250596457,7.884933018,15,16,6,9.594,2.896,1.961,2.342,1.323,0.518,2.281002597,7.056609174,7.92178095,9.243812731,2.800532783,1.900279565,2.290226018,1.30558655,0.509073393
Emi.B.F.204,41.56,8,3,12,9,4.13,1,7.111467512,7.146051977,NA,17,7,7.732,2.421,1.974,2.477,1.057,0.757,4.336202464,7.895580033,7.018700685,8.924309492,2.755132838,2.228600428,2.700041886,1.112418073,0.809492255
Emi.B.F.205,51.59,8,3,11,7,3.96,1,8.217992498,7.951515688,15,15,6,10.495,2.967,2.093,2.756,0.93,0.467,3.784782901,7.457142678,8.085442712,9.186085075,2.63126231,1.869959426,2.543891127,0.886887867,0.438804864
Emi.B.F.206,48.3,8,3,9,7,3.3,1,6.921681582,7.219261031,15,16,6,9.749,2.71,1.529,2.154,1.097,0.366,3.24563788,6.67920856,7.263655004,9.283806861,2.593145717,1.46705247,2.091605638,1.078053676,0.357729151
Emi.B.F.207,55.3,8,3,10,7,3.3,1,8.986769806,7.824778072,15,15,6,11.255,3.376,0,2.334,0.95,0.523,3.060197333,7.643027119,8.045714149,9.013708286,2.763504896,0,2.042301157,0.877725459,0.471428291
Emi.B.F.208,43.41,8,3,10,7,3.3,1,6.432742782,5.910535805,15,16,6,8.367,2.344,1.476,2.261,1.146,0.391,3.399785133,6.857569673,5.845907374,9.133795016,2.536810157,1.589642729,2.383390531,1.182371872,0.407361164
Emi.B.F.209,52.72,8,3,11,7,3.3,1,7.579781872,7.483151418,15,15,6,10.251,2.832,1.796,3.101,1.257,0.528,3.12441908,6.740345057,7.635686685,8.727182708,2.449546304,1.567416747,2.815026559,1.186945551,0.489733442
Emi.B.F.210,49.09,8,2,9,7,3.14,1,8.089256796,7.914584199,14,16,6,10.371,2.619,0,2.515,0.8,0.632,3.066570391,7.688591345,7.984008365,9.67322392,2.459607187,0,2.411859534,0.780389298,0.611752385
Emi.B.F.211,53.92,8,3,10,6,4.62,1,7.946591481,8.078535862,15,15,7,10.904,2.906,NA,NA,0.818,NA,4.331600322,6.919660178,8.273026252,9.01959352,2.449137951,NA,NA,0.764526144,NA
Emi.B.F.212,54.46,8,3,10,7,4.46,1,8.352543973,8.029383521,15,16,6,10.206,3.33,2.748,3.647,1.11,0.884,4.163513702,7.205829678,8.235847094,8.335261138,2.774404956,2.31542801,3.229001911,1.032734922,0.804160165
Emi.B.F.213,53.72,8,3,11,7,4.46,1,8.679778693,8.689982501,15,16,6,10.749,3.378,2.461,3.701,0.919,0.902,4.188348485,7.584354139,8.893889365,8.933758084,2.859162749,2.104539648,3.311480827,0.860380117,0.827276983
Emi.B.F.214,48.24,8,3,10,7,2.97,1,7.308773609,6.639846792,15,15,7,9.962,2.578,1.453,2.253,0.681,0.62,2.922652868,7.060926137,6.679345577,9.501743291,2.470376995,1.396008505,2.18983082,0.669617808,0.606440013
Emi.B.F.215,55.28,8,2,10,7,4.62,1,8.926929752,8.891246084,15,16,6,11.351,3.518,0,3.216,1.9,0.726,4.28494999,7.594697896,9.141763806,9.094799575,2.880944191,0,2.814853644,1.755740457,0.654552588
