"","index","prop","time","stl"
"1",1,0.81,1,74.46
"2",2,0.96,1,47.95
"3",3,0.83,1,49.03
"4",4,0.87,1,55.29
"5",5,0.97,1,85.01
"6",6,0.69,1,72.49
"7",7,1,1,53.65
"8",8,0.71,1,72.87
"9",9,0.94,1,72.54
"10",10,0.73,1,64.86
"11",11,0.48,1,56.91
"12",12,0.65,1,77.05
"13",13,0.53,1,76.16
"14",14,0.66,1,51.88
"15",15,0.11,1,69.25
"16",16,0.34,1,54.77
"17",17,0.96,1,59.21
"18",18,0.83,1,61.31
"19",19,0.42,1,59.71
"20",20,0.91,1,76.54
"21",21,0.86,1,59.45
"22",22,0.45,1,72.48
"23",23,0.08,1,60.65
"24",24,0.85,1,62.53
"25",25,0.92,1,61.38
"26",26,0.83,1,55.64
"27",27,0.92,1,74.54
"28",28,0.98,1,52.49
"29",29,0.78,1,77.67
"30",30,0.84,1,56.81
"31",31,0.94,1,58.87
"32",32,0.94,1,53.86
"33",33,0.8,1,53.5
"34",34,0.83,1,60
"35",35,0.91,1,53.17
"36",36,0.73,1,59.36
"37",37,0.7,1,56.73
"38",38,0.41,1,66.4
"39",39,0.44,1,65.71
"40",40,0.63,1,52.47
"41",41,0.26,1,70.75
"42",42,0.84,1,69.99
"43",43,0.84,1,71.67
"44",44,0.85,2,60.99
"45",45,0.66,2,55.08
"46",46,0.68,2,59.12
"47",47,0.41,2,61.32
"48",48,0.83,2,57.64
"49",49,0.77,2,51.45
"50",50,0.96,2,52.72
"51",51,0.78,2,57.98
"52",52,0.73,2,59.37
"53",53,0.95,2,64.31
"54",54,0.68,2,54.93
"55",55,0.53,2,55.66
"56",56,1,2,55.47
"57",57,0.83,2,60.41
"58",58,0.87,2,63.4
"59",59,0.66,2,56.94
"60",60,0.95,2,70.4
"61",61,0.73,2,58.18
"62",62,0.94,2,51.13
"63",63,0.92,2,56.27
"64",64,0.43,2,62.05
"65",65,0.93,2,55.14
"66",66,0.96,2,60.12
"67",67,0.75,2,52.28
"68",68,0.36,2,49.29
"69",69,0.96,2,66.45
"70",70,0.38,2,72.2
"71",71,0.5,2,53.21
"72",72,0.99,2,54.56
"73",73,0.97,2,53.44
"74",74,0.56,2,59.38
"75",75,0.45,2,66.36
"76",76,0.81,2,74.16
"77",77,0.81,2,61.62
"78",78,0.85,2,65.56
"79",79,0.7,2,39.92
"80",80,0.9,2,58.56
"81",81,0.5,2,44.46
"82",82,0.68,2,54.14
"83",83,0.89,2,53.61
