"univID","stl","ips","mds","mdf","maf","lps","ips.prop","ect","tpg","mav","mcv","mpt","cle","pmx","ds1","ds2","lpt","ds3"
"Fre.L.f.061",38.43,8,3,9,7,5.28,1,6.58806816402808,8.09688924910966,14,18,6,6.619,1.885,2.997,3.302,1.577,0.754
"Fre.L.m.062",42.6,8,NA,12,9,5.94,1,6.94212282502759,9.12026981387857,13,18,5,7.62,2.794,2.54,3.556,0,0
"Fre.L.f.063",36.8,8,3,9,7,4.62,1,5.95579717053795,7.59907560407288,14,18,6,6.294,2.286,2.918,3.193,1.184,0.782
"Fre.L.m.064",39.87,8,3,12,8,5.775,1,6.58059559374396,8.33774279554057,14,17,6,7.031,2.637,2.751,3.02,1.3,0.828
"Fre.L.f.066",46.76,8,3,12,8,7.26,1,7.95365820906872,10.2878595881269,14,17,6,8.666,2.959,3.945,4.503,1.516,1.113
"Fre.L.f.067",34.61,8,3,9,8,5.28,1,5.47450863076878,7.07729628937963,14,17,6,6.088,2.004,2.951,3.594,1.242,1.077
"Fre.L.m.068",37.91,8,3,11,10,5.775,1,6.32579176192612,8.26073000238537,14,18,6,6.604,2.2,3.076,3.627,1.113,0.866
"Fre.L.f.069",40.08,8,3,12,10,6.435,1,6.73257785144679,8.21453015516756,14,16,6,7.221,2.438,3.658,3.952,1.575,1.204
"Fre.L.f.070",38.22,8,3,10,9,5.94,1,6.11734668924819,8.12765490024083,14,17,6,6.708,2.123,3.399,3.531,1.349,0.899
"Fre.L.m.071",42.22,8,3,9,7,6.6,1,7.21469413037727,9.64148234843246,13,17,6,7.391,2.377,1.974,3.645,1.613,0.752
"Fre.L.m.072",42.69,8,3,13,10,6.435,1,6.53041751657156,9.04903881942417,14,18,6,7.775,2.365,3.904,4.067,1.417,1.242
"Fre.L.m.074",38.06,8,3,11,9,5.775,1,6.22383717855559,8.03706592666744,14,17,6,6.731,2.172,3.251,3.673,1.138,0.965
"Fre.L.f.075",37.32,8,3,11,9,5.115,1,5.92612810955851,7.44037665635095,14,17,5,6.716,2.344,2.477,3.007,0,0.569
"Fre.L.f.076",43.05,8,3,13,9,6.105,1,7.10706692004705,9.37360469275792,14,18,7,7.686,1.991,3.061,3.345,1.511,0.724
"Fre.L.f.077",44.37,8,3,12,9,6.435,1,7.43951111016627,10.330792608107,14,17,6,7.981,2.601,3.462,NA,1.709,1.105
"Fre.L.m.078",46.46,8,3,12,10,7.59,1,7.61502403245493,9.8275782716504,14,18,6,8.537,3.167,4.524,4.737,1.669,1.323
"Fre.L.m.079",37.07,8,3,12,9,5.61,1,5.96128434617952,7.34976757651462,14,17,6,6.65,2.289,2.847,3.35,0.986,0.612
"Fre.L.m.080",38.39,8,3,11,10,5.61,1,6.44842712022967,8.15679647212422,14,18,6,7.099,1.88,2.967,3.429,1.331,0.767
"Joe.L.M.065",68.5,8,3,12,10,12.045,1,12.5732319681997,17.6042250445913,14,17,7,13.119,NA,6.871,7.15,2.934,2.266
