"univID","stl","mds","mdf","maf","lps","ect","tpg","mav","mcv","mpt","cle","pmx","ds1","ds2","lpt","ds3","lps.sc","ect.sc","tpg.sc","cle.sc","pmx.sc","ds1.sc","ds2.sc","lpt.sc","ds3.sc"
"Joe.G.M.065",68.5,3,12,10,12.045,12.5732319681997,17.6042250445913,14,17,7,13.119,NA,6.871,7.15,2.934,2.266,9.90357864544533,9.54993109972676,10.5806087617589,9.70994792674357,NA,5.17286727832797,5.7249628209467,2.24323323501435,1.85665918226391
"Joe.G.M.066",70.53,3,12,10,11.055,12.4514369565217,16.1754456521739,15,18,7,13.559,4.552,6.048,6.911,3.493,2.004,8.89466888680459,9.18406923535727,9.20968279591691,9.71869338163481,3.17932688117421,4.43044227876096,5.4065283039649,2.59346504262099,1.60788748689958
"Joe.G.F.070",67.46,3,12,10,11.22,11.183498201932,16.3262576853081,14,18,6,12.715,3.759,6.825,7.056,3.023,2.301,9.33060823197151,8.62588521023377,10.0947090745759,9.57046346348907,2.76753565165206,5.21237204977148,5.71887244174827,2.34705071886751,1.90617825787824
"Joe.G.M.071",65.47,3,12,10,11.88,11.2233920396677,16.0017638137246,14,17,6,12.893,3.942,7.087,7.6,2.642,2.616,10.1015002928654,8.92092375854795,10.4586263914043,10.0290291072337,3.00702504081124,5.56636326138387,6.30825965563381,2.11383739479784,2.21426413044923
"Joe.G.M.072",69.24,3,12,10,11.22,10.2185335240676,15.6192069954275,15,17,6,13.221,4.796,7.181,7.297,2.88,2.344,9.15196733813733,7.67812909722838,9.20247326265843,9.6705931375612,3.42377917916706,5.35213209173793,5.79293933665733,2.17832271838887,1.90579643485412
"Joe.G.F.073",67.65,3,10,9,12.045,11.8984254016316,17.0324655930762,14,16,6,12.408,4.12,7.302,8.08,3.16,NA,9.99579311268427,9.15142655547108,10.4766154814491,9.31057045617376,3.02323313265159,5.56199835175912,6.5341872400439,2.44649993292036,NA
"Joe.G.M.074",42.05,3,11,10,8.25,6.87993844492441,10.138596112311,13,18,6,7.709,2.375,4.277,4.76,1.636,1.394,9.74411425897877,8.53041402146649,15.0529081104515,9.7536911856819,3.06041663346432,5.08495759470203,5.61889159895371,2.0414756490006,1.62190727905046
"Joe.G.M.080",60.41,3,12,11,9.735,9.91958318781983,14.1625755525813,14,18,6,11.598,3.254,4.686,4.856,2.268,1.664,8.78688877450771,8.54795533382716,10.7445811619808,9.85534067708465,2.73027726052481,3.96845600190982,4.29697452747781,1.96721043106975,1.49227391770771
"Nor.G.M.041",45.2,3,11,9,5.445,6.26609746935296,8.30638155928093,15,16,6,8.75,3.045,2.67,3.426,1.059,0.899,6.09536629733201,7.22563301478203,10.7873198179555,10.2260556436297,3.60207317325489,2.96676810103638,3.81834889622026,1.22903073260929,0.993066697332273
"Nor.G.M.042",48.68,3,12,8,5.115,7.36778623767548,8.18961968571909,14,16,6,8.966,2.741,2.621,3.038,1.448,0.64,5.41923262504087,7.88616158823404,9.26975656687897,9.6584035019748,2.96980667015688,2.71692316639214,3.19192459459957,1.55990541447983,0.670271511644309
